Label,name,code,region,sub_region,lat,lng,Abb
147,New Zealand,554,Oceania,Australia and New Zealand,-41,174,NZL
148,Nicaragua,558,Latin America and the Caribbean,Central America,13,-85,NIC
149,Niger,562,Africa,Western Africa,16,8,NER
150,Nigeria,566,Africa,Western Africa,10,8,NGA
151,Niue,570,Oceania,Polynesia,-19.03,-169.87,NIU
152,Northern Mariana Islands,580,Oceania,Micronesia,15.2,145.75,MNP
153,Norway,578,Europe,Northern Europe,62,10,NOR
154,Oman,512,Asia,Western Asia,21,57,OMN
155,Pakistan,586,Asia,Southern Asia,30,70,PAK
156,Palau,585,Oceania,Micronesia,7.5,134.5,PLW
157,Panama,591,Latin America and the Caribbean,Central America,9,-80,PAN
158,Papua New Guinea,598,Oceania,Melanesia,-6,147,PNG
159,Paraguay,600,Latin America and the Caribbean,South America,-23,-58,PRY
160,Peru,604,Latin America and the Caribbean,South America,-10,-76,PER
161,Philippines,608,Asia,South-Eastern Asia,13,122,PHL
162,Poland,616,Europe,Eastern Europe,52,20,POL
163,Portugal,620,Europe,Southern Europe,39.5,-8,PRT
164,Puerto Rico,630,Latin America and the Caribbean,Caribbean,18.25,-66.5,PRI
165,Qatar,634,Asia,Western Asia,25.5,51.25,QAT
166,Republic of Korea,410,Asia,Eastern Asia,37,127.5,KOR
167,Republic of Moldova,498,Europe,Eastern Europe,47,29,MDA
168,Réunion,638,Africa,Eastern Africa,-21.1,55.6,REU
169,Romania,642,Europe,Eastern Europe,46,25,ROU
170,Russian Federation,643,Europe,Eastern Europe,60,100,RUS
171,Rwanda,646,Africa,Eastern Africa,-2,30,RWA
172,Saint Helena,654,Africa,Western Africa,-15.93,-5.7,SHN
173,Saint Kitts and Nevis,659,Latin America and the Caribbean,Caribbean,17.33,-62.75,KNA
174,Saint Lucia,662,Latin America and the Caribbean,Caribbean,13.88,-61.13,LCA
175,Saint Pierre and Miquelon,666,Northern America,South America,46.83,-56.33,SPM
176,Saint Vincent and the Grenadines,670,Latin America and the Caribbean,Caribbean,13.25,-61.2,VCT
177,Samoa,882,Oceania,Polynesia,-13.58,-172.33,WSM
178,San Marino,674,Europe,Southern Europe,43.77,12.42,SMR
179,Sao Tome and Principe,678,Africa,Middle Africa,1,7,STP
180,Saudi Arabia,682,Asia,Western Asia,25,45,SAU
181,Senegal,686,Africa,Western Africa,14,-14,SEN
182,Serbia,688,Europe,Southern Europe,44,21,SRB
183,Seychelles,690,Africa,Eastern Africa,-4.58,55.67,SYC
184,Sierra Leone,694,Africa,Western Africa,8.5,-11.5,SLE
185,Singapore,702,Asia,South-Eastern Asia,1.37,103.8,SGP
186,Sint Maarten (Dutch part),534,Latin America and the Caribbean,Caribbean,18.0425,63.0548,SXM
187,Slovakia,703,Europe,Eastern Europe,48.67,19.5,SVK
188,Slovenia,705,Europe,Southern Europe,46,15,SVN
189,Solomon Islands,90,Oceania,Melanesia,-8,159,SLB
190,Somalia,706,Africa,Eastern Africa,10,49,SOM
191,South Africa,710,Africa,Southern Africa,-29,24,ZAF
192,South Sudan,728,Africa,Eastern Africa,12.862807,30.217636,SSD
193,Spain,724,Europe,Southern Europe,40,-4,ESP
194,Sri Lanka,144,Asia,Southern Asia,7,81,LKA
195,State of Palestine,275,Asia,Western Asia,32,35.25,PSE
196,Sudan,729,Africa,Northern Africa,15,30,SDN
197,Suriname,740,Latin America and the Caribbean,South America,4,-56,SUR
198,Swaziland,748,Africa,Southern Africa,-26.5,31.5,SWZ
199,Sweden,752,Europe,Northern Europe,62,15,SWE
200,Switzerland,756,Europe,Western Europe,47,8,CHE
201,Syrian Arab Republic,760,Asia,Western Asia,35,38,SYR
202,Tajikistan,762,Asia,Central Asia,39,71,TJK
203,Thailand,764,Asia,South-Eastern Asia,15,100,THA
204,The former Yugoslav Republic of Macedonia,807,Europe,Southern Europe,41.83,22,MKD
