source,target,migration_1995_total,migration_1995_male,migration_1995_female,migration_2000_total,migration_2000_male,migration_2000_female,migration_2005_total,migration_2005_male,migration_2005_female,migration_2010_total,migration_2010_male,migration_2010_female,migration_2015_total,migration_2015_male,migration_2015_female
2,107,98,53,45,97,53,44,185,118,67,172,105,67,411,247,164
2,211,222,160,62,225,162,63,18,10,8,19,10,9,8,2,6
2,18,14,11,3,14,11,3,2,2,0,3,3,0,3,3,0
2,31,73,37,36,73,38,35,101,55,46,90,50,40,4,2,2
2,56,41,36,5,40,35,5,247,226,21,214,199,15,77,37,40
2,95,102,49,53,102,50,52,111,86,25,110,85,25,43,25,18
2,162,94,73,21,79,61,18,74,66,8,80,78,2,21,16,5
2,169,4,3,1,2,1,1,1,1,0,1,1,0,137,58,79
2,170,174,30,144,170,7,163,126,63,63,144,76,68,15,9,6
2,187,24,21,3,34,28,6,9,7,2,9,8,1,18,14,4
2,59,191,111,80,190,111,79,43,13,30,42,13,29,27,6,21
2,73,72,55,17,72,56,16,165,117,48,165,118,47,302,219,83
2,96,7,5,2,6,5,1,1,0,1,2,1,1,11,11,0
2,101,200,140,60,373,269,104,26,14,12,112,94,18,12,6,6
2,114,3,3,0,3,2,1,2,2,0,3,3,0,3,2,1
2,153,110,71,39,173,88,85,189,110,79,197,98,99,98,52,46
2,199,247,160,87,114,72,42,311,194,117,583,382,201,429,244,185
2,218,3304,2424,880,3420,2497,923,6111,3831,2280,7450,4788,2662,2947,1842,1105
2,52,0,0,0,0,0,0,28,13,15,28,14,14,0,0,0
2,83,55,12,43,59,13,46,405,386,19,404,386,18,30,27,3
2,104,4820,3675,1145,4819,3674,1145,3329,1558,1771,3328,1557,1771,292,144,148
2,127,4,2,2,6,5,1,7,4,3,11,8,3,12,10,2
2,163,63,40,23,69,43,26,37,31,6,21,6,15,20,12,8
2,182,35,22,13,15,9,6,0,0,0,1,1,0,2,1,1
2,188,4,3,1,5,2,3,12,12,0,12,9,3,7,5,2
2,193,1290,1239,51,6654,4763,1891,28923,22666,6257,11962,6294,5668,8227,6583,1644
2,12,91,72,19,91,73,18,105,75,30,105,75,30,187,143,44
2,19,770,570,200,1050,713,337,1197,492,705,1543,941,602,3115,2259,856
2,74,25503,8482,17021,25503,8483,17020,497290,212966,284324,97825,41609,56216,108053,56529,51524
2,80,3873,3244,629,3872,3244,628,3130,1409,1721,3129,1409,1720,775,541,234
2,121,12,9,3,12,8,4,12,3,9,10,2,8,34,19,15
2,145,930,643,287,1023,706,317,333,75,258,202,170,32,109,23,86
2,200,646,445,201,668,465,203,689,294,395,832,114,718,1431,1098,333
2,53,25,15,10,25,15,10,0,0,0,4,1,3,5,3,2
2,86,25,11,14,25,11,14,13,5,8,13,6,7,6,2,4
2,129,23,10,13,23,9,14,4,1,3,4,0,4,3,0,3
2,50,23,10,13,12,5,7,3,1,2,6,2,4,0,0,0
2,133,40,29,11,44,31,13,23,11,12,10,2,8,2,1,1
2,148,10,6,4,28,12,16,31,12,19,6,3,3,8,4,4
2,8,5,2,3,5,1,4,57,34,23,58,35,23,0,0,0
2,24,3,2,1,3,2,1,3,2,1,4,3,1,0,0,0
2,42,4,2,2,5,2,3,8,3,5,8,2,6,16,8,8
2,46,2,2,0,1,1,0,2,1,1,4,3,1,2,2,0
2,63,2,1,1,2,2,0,4,3,1,9,7,2,15,12,3
2,75,3,2,1,3,2,1,5,4,1,5,3,2,2,1,1
2,160,1,1,0,3,2,1,3,2,1,1,1,0,1,1,0
2,225,2,1,1,1,1,0,3,1,2,5,3,2,6,3,3
2,37,8271,3980,4291,8557,4120,4437,14183,8179,6004,16271,9311,6960,5999,3207,2792
2,220,2971,1924,1047,3282,2131,1151,1438,948,490,1590,892,698,4342,276,4066
2,11,285,198,87,230,165,65,160,60,100,40,20,20,181,118,63
2,146,81,42,39,82,43,39,43,25,18,44,26,18,39,23,16
2,76,59,32,27,46,23,23,33,22,11,26,8,18,36,23,13
2,28,0,0,0,0,0,0,91,46,45,91,46,45,37,19,18
2,68,0,0,0,0,0,0,0,0,0,14,11,3,1,1,0
3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,170,53,22,31,17,5,12,488,235,253,498,241,257,0,0,0
3,83,5,1,4,6,1,5,7,2,5,7,1,6,0,0,0
3,74,0,0,0,0,0,0,11,6,5,11,6,5,0,0,0
3,37,0,0,0,3,1,2,59,29,30,55,26,29,0,0,0
3,11,30,25,5,26,22,4,90,40,50,50,40,10,120,72,48
3,134,2,0,2,2,2,0,4,2,2,2,1,1,2,0,2
3,177,511,268,243,501,258,243,118,73,45,239,134,105,62,40,22
4,31,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
4,56,2,1,1,2,1,1,4,2,2,4,2,2,0,0,0
4,59,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
4,73,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
4,101,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0
4,114,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
4,218,9,5,4,11,5,6,13,6,7,18,8,10,6,4,2
4,83,3,1,2,1,0,1,2,1,1,2,1,1,0,0,0
4,104,9,3,6,8,3,5,56,16,40,55,15,40,4,2,2
4,163,142,68,74,153,73,80,11,4,7,77,36,41,32,7,25
4,193,347,182,165,1362,693,669,418,202,216,1443,731,712,322,128,194
4,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,74,40,7,33,40,7,33,333,134,199,72,54,18,74,30,44
4,200,5,4,1,7,5,2,6,4,2,8,3,5,8,7,1
4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,24,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
4,42,2,1,1,1,1,0,1,0,1,2,1,1,6,2,4
4,46,1,1,0,1,0,1,2,1,1,5,3,2,3,2,1
4,37,2,1,1,3,1,2,8,4,4,7,3,4,0,0,0
4,11,152,69,83,161,74,87,20,10,10,20,10,10,0,0,0
4,96,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
4,28,0,0,0,0,0,0,5,5,0,5,5,0,2,2,0
5,67,186,100,86,187,100,87,140,71,69,139,70,69,5,5,0
5,219,241,144,97,60,36,24,135,81,54,33,20,13,63,43,20
5,230,17224,8509,8715,79247,40165,39082,121727,61424,60303,61415,30561,30854,19642,9943,9699
5,36,0,0,0,0,0,0,2571,1244,1327,525,206,319,288,185,103
5,48,7936,3747,4189,12830,6043,6787,15550,7348,8202,15478,9402,6076,10210,4702,5508
5,58,192060,88350,103710,49331,22604,26727,63648,33716,29932,2083,402,1681,74797,31058,43739
5,77,66,38,28,114,67,47,50,30,20,80,48,32,65,38,27
5,179,88,82,6,134,18,116,140,59,81,110,45,65,46,19,27
5,64,2,2,0,0,0,0,4,3,1,2,1,1,5,1,4
5,27,338,167,171,431,215,216,672,329,343,680,334,346,878,420,458
5,142,1050,605,445,25668,14355,11313,10182,6133,4049,1401,796,605,3083,1755,1328
5,191,4441,2158,2283,4508,2627,1881,4163,1031,3132,9848,5496,4352,706,398,308
5,198,14,7,7,49,24,25,20,8,12,19,7,12,16,11,5
5,34,311,179,132,310,179,131,926,489,437,927,490,437,14,6,8
5,126,2,2,0,5,3,2,204,114,90,209,116,93,37,20,17
5,161,782,339,443,1160,509,651,1254,575,679,1195,561,634,2,1,1
5,31,2,1,1,2,1,1,1,0,1,1,0,1,1,0,1
5,56,17,15,2,17,15,2,62,51,11,51,42,9,9,7,2
5,95,11,3,8,10,3,7,14,10,4,13,9,4,7,3,4
5,162,6,6,0,4,4,0,14,11,3,17,13,4,1,1,0
5,170,73,12,61,70,2,68,89,71,18,82,63,19,10,7,3
5,187,2,1,1,5,5,0,2,1,1,2,2,0,5,4,1
5,59,29,11,18,29,11,18,23,9,14,23,10,13,7,7,0
5,73,45,29,16,45,29,16,134,83,51,134,84,50,191,95,96
5,96,5,3,2,4,3,1,11,9,2,10,8,2,4,3,1
5,101,163,78,85,304,157,147,36,19,17,91,65,26,10,2,8
5,114,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
5,153,11,5,6,62,30,32,138,61,77,138,68,70,107,63,44
5,199,63,27,36,30,12,18,119,58,61,164,84,80,42,24,18
5,218,2418,1143,1275,2474,1168,1306,3750,1634,2116,4521,2044,2477,1724,686,1038
5,83,3,2,1,2,1,1,5,2,3,5,2,3,0,0,0
5,104,720,376,344,720,377,343,63,14,49,62,14,48,36,18,18
5,163,12681,6078,6603,18939,9332,9607,3602,2049,1553,31765,15096,16669,13447,2898,10549
5,193,331,199,132,992,576,416,914,517,397,567,356,211,452,316,136
5,12,24,14,10,24,15,9,28,13,15,28,13,15,49,27,22
5,19,150,70,80,165,77,88,1289,642,647,804,372,432,1622,773,849
5,74,372,126,246,372,126,246,2592,951,1641,4844,2309,2535,1608,788,820
5,145,816,508,308,902,558,344,5856,3524,2332,1841,1239,602,2139,1399,740
5,200,460,267,193,477,282,195,452,138,314,626,36,590,1001,720,281
5,53,53,35,18,53,35,18,0,0,0,10,5,5,10,6,4
5,50,2,1,1,2,1,1,1,1,0,2,2,0,0,0,0
5,133,4,1,3,6,2,4,2,1,1,4,1,3,24,15,9
5,8,0,0,0,2,1,1,5,2,3,6,3,3,0,0,0
5,24,3,2,1,1,1,0,3,2,1,2,1,1,1,1,0
5,28,744,557,187,743,556,187,281,109,172,295,162,133,1305,670,635
5,42,24,13,11,24,14,10,10,4,6,11,4,7,22,13,9
5,46,1,1,0,1,0,1,2,0,2,5,3,2,4,3,1
5,63,2,1,1,2,1,1,3,1,2,8,3,5,13,5,8
5,160,1,1,0,2,0,2,2,0,2,1,1,0,1,1,0
5,225,3,1,2,3,2,1,8,5,3,9,4,5,10,4,6
5,37,568,271,297,612,292,320,114,77,37,190,156,34,315,166,149
5,220,990,390,600,1123,447,676,2722,1859,863,2810,1319,1491,2786,1350,1436
5,11,60,27,33,40,16,24,40,10,30,80,50,30,50,25,25
5,68,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0
6,31,6,3,3,5,3,2,9,6,3,7,5,2,3,1,2
6,170,18,7,11,16,1,15,118,59,59,120,61,59,1,0,1
6,101,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
6,114,2,2,0,3,2,1,5,3,2,4,3,1,0,0,0
6,218,282,126,156,289,129,160,97,40,57,49,15,34,63,27,36
6,83,5,3,2,6,3,3,3,2,1,3,2,1,0,0,0
6,74,1,1,0,0,0,0,114,34,80,114,34,80,1,1,0
6,145,2,1,1,5,1,4,13,5,8,4,3,1,2,1,1
6,7,8,4,4,7,3,4,3,2,1,2,1,1,2,1,1
6,25,183,96,87,183,96,87,35,19,16,544,279,265,3,3,0
6,61,2,1,1,2,1,1,2,2,0,3,3,0,3,2,1
6,62,16,8,8,15,7,8,69,39,30,69,38,31,2,1,1
6,174,5,3,2,8,3,5,4,2,2,2,0,2,2,1,1
6,186,0,0,0,0,0,0,183,100,83,184,100,84,16,9,7
6,221,7,4,3,3,2,1,66,31,35,65,31,34,0,0,0
6,42,4,2,2,3,1,2,3,1,2,3,0,3,6,2,4
6,46,1,1,0,1,0,1,2,1,1,4,3,1,3,2,1
6,37,15,7,8,18,9,9,36,25,11,30,23,7,9,3,6
